"Id","Reference"," MYValue"," Footprint"," Datasheet"," Type"," Tolerance"
1,"S1","interruttore","Buttons_Switches_THT:SW_PUSH-12mm",,,
2,"C1","1uF","Capacitors_THT:CP_Radial_D5.0mm_P2.50mm",,,
3,"C2","1uF","Capacitors_THT:CP_Radial_D5.0mm_P2.50mm",,,
4,"IC1-1","TL084","Housings_DIP:DIP-14_W7.62mm",,,
5,"R4","10k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
6,"R5","10k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
7,"C3","1nF","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",,"Polyester",
8,"R1","1.5k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
9,"R2","10k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
10,"R3","10k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
11,"R6","68k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
12,"TR1","BC547","TO_SOT_Packages_THT:TO-92_Molded_Narrow",,,
13,"TR2","BC557","TO_SOT_Packages_THT:TO-92_Molded_Narrow",,,
14,"R8","12k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
15,"R7","4.7k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
16,"R9","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,"1%"
17,"R12","22R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
18,"R10","22R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
19,"R11","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,"1%"
20,"R13","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
21,"R14","1k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
22,"R16","47k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
23,"R15","47k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
24,"R18","15k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
25,"C5","1uF","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",,"Polyester",
26,"TR3","BC547","TO_SOT_Packages_THT:TO-92_Molded_Narrow",,,
27,"DL1","LED","LEDs:LED_D3.0mm",,,
28,"R19","680R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
29,"C4","100nF","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",,"Polyester",
30,"R17","47k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
31,"DS3","1N4148","Diodes_THT:D_5W_P5.08mm_Vertical_AnodeUp",,,
32,"C6","1uF","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",,"Polyester",
33,"R20","2.2k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",,,
34,"R21","20k","Potentiometers:Potentiometer_Trimmer_ACP_CA9v_Horizontal_Px10.0mm_Py5.0mm",,,
35,"MES1","Amperemeter_DC","Connectors:Banana_Jack_2Pin",,,
36,"DS1","1N4007","Diodes_THT:D_5W_P5.08mm_Vertical_AnodeUp",,,
37,"DS2","1N4007","Diodes_THT:D_5W_P5.08mm_Vertical_AnodeUp",,,
38,"J1","Conn_01x01","Connectors:Banana_Jack_1Pin",,,
39,"J2","Conn_01x01","Connectors:Banana_Jack_1Pin",,,
40,"BT1","9V","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",,,
